No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
176	LensAssignable Button 1	:ref:`CrDeviceProperty_LensAssignableButton1<dp-LensAssignableButton1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
177	Focus Mode Setting	:ref:`CrDeviceProperty_FocusModeSetting<dp-FocusModeSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
178	Shutter Angle	:ref:`CrDeviceProperty_ShutterAngle<dp-ShutterAngle>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔
179	Shutter Setting	:ref:`CrDeviceProperty_ShutterSetting<dp-ShutterSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
180	Shutter Mode	:ref:`CrDeviceProperty_ShutterMode<dp-ShutterMode>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔
181	Shutter Speed Value	:ref:`CrDeviceProperty_ShutterSpeedValue<dp-ShutterSpeedValue>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
182	Shutter Speed Current Value	:ref:`CrDeviceProperty_ShutterSpeedCurrentValue<dp-ShutterSpeedCurrentValue>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
183	ND Filter	:ref:`CrDeviceProperty_NDFilter<dp-NDFilter>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
184	ND Filter Mode	:ref:`CrDeviceProperty_NDFilterMode<dp-NDFilterMode>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
185	ND Filter Mode Setting	:ref:`CrDeviceProperty_NDFilterModeSetting<dp-NDFilterModeSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
186	ND Filter Value	:ref:`CrDeviceProperty_NDFilterValue<dp-NDFilterValue>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
187	Gain Unit Setting	:ref:`CrDeviceProperty_GainUnitSetting<dp-GainUnitSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	✔	✔
